0000037c,00000001,000ffffd,18
000007c0,00000007,00080446,21577
00000750,00000001,000ffffe,21882
000007ec,00000001,000ffffe,22038
000006d0,00000001,000ffffe,22388
00000708,00000002,000ffffe,22836
00000720,00000002,000ffffe,23060
000006e8,00000001,000ffffe,23443
00000720,00000002,000ffffe,23876
00000784,00000002,000ffffe,24332
000007c0,00000007,00080442,24837
000007a4,00000011,00080480,25337
00000758,00000002,000ffffe,25807
00000790,00000011,0008006d,26065
000007a4,00000011,00080480,26187
00000720,00000002,000ffffe,26473
00000710,00000011,00080401,26639
000006bc,00000001,000ffffe,26699
000006e8,00000001,000ffffe,27009
00000708,00000002,000ffffe,27405
000006cc,0000000a,00080480,27611
00000740,00000001,000ffffe,27973
0000073c,00000001,000ffffe,28159
00000784,00000002,000ffffe,28493
00000760,0000000a,00080441,28668
00000758,00000002,000ffffe,28744
000007a4,00000011,00080480,29073
000007d0,00000001,000ffffe,29454
000007ac,00000001,000ffffe,29653
0000079c,00000002,000ffffe,29754
000007a4,00000011,00080480,30059
00000764,00000001,000ffffe,30428
00000740,00000001,000ffffe,30621
00000720,00000002,000ffffe,30719
000006bc,00000001,000ffffe,30792
00000730,00000001,000ffffe,30805
000006d0,00000001,000ffffe,30812
00000700,00000001,000ffffe,30816
00000710,00000011,00080402,31106
00000718,00000001,000ffffe,31499
00000720,00000002,000ffffe,31705
0000072c,00000007,00080480,31813
00000730,00000001,000ffffe,31859
00000700,00000001,000ffffe,32125
000006e8,00000001,000ffffe,32530
00000750,00000001,000ffffe,32733
00000750,00000001,000ffffe,32835
00000760,0000000a,00080441,33135
000007c0,00000007,00080442,33278
00000750,00000001,000ffffe,33617
00000764,00000001,000ffffe,33790
00000784,00000002,000ffffe,33878
000007d0,00000001,000ffffe,33921
00000784,00000002,000ffffe,34184
00000750,00000001,000ffffe,34586
00000710,00000f86,00080400,34740
000006f0,00000002,000ffffe,34789
000006e8,00000001,000ffffe,35161
000006e8,00000001,000ffffe,35348
00000730,00000001,000ffffe,35442
00000710,00000011,00080403,35777
00000740,00000001,000ffffe,35921
00000720,00000002,000ffffe,36274
000006bc,00000001,000ffffe,36721
00000760,0000000a,00080441,37194
000007c4,00000001,000ffffe,37689
000007c0,00000007,00080444,38187
00000784,00000002,000ffffe,38668
000006cc,0000000a,00080480,39159
000006fc,00000011,00080087,39408
00000718,00000001,000ffffe,39753
000006e8,00000001,000ffffe,39934
00000718,00000001,000ffffe,40025
000006f0,00000002,000ffffe,40072
00000730,00000001,000ffffe,40334
00000710,00000011,00080405,40482
00000700,00000001,000ffffe,40804
00000764,00000001,000ffffe,41245
00000764,00000001,000ffffe,41466
000007c0,00000007,00080441,41583
00000750,00000001,000ffffe,41633
000007c4,00000001,000ffffe,41901
000007b4,00000002,000ffffe,42308
000007ac,00000001,000ffffe,42782
000007ac,00000001,000ffffe,43020
000006cc,0000000a,00080480,43388
0000072c,00000007,00080480,43565
000006cc,0000000a,00080480,43898
00000738,00000001,000ffffe,44326
0000072c,00000007,00080480,44551
000006d0,00000001,000ffffe,44655
00000710,00000011,00080406,44966
000006e8,00000001,000ffffe,45098
00000794,00000001,000ffffe,45444
000007ac,00000001,000ffffe,45889
00000784,00000002,000ffffe,46225
000007c0,00000007,00080444,46526
000007a4,00000011,00080480,46924
000007d4,00000001,000ffffe,47374
000006c4,00000002,000ffffe,47880
00000740,00000001,000ffffe,48132
00000700,00000001,000ffffe,48259
000006d0,00000001,000ffffe,48323
000006d0,00000001,000ffffe,48595
000006d0,00000001,000ffffe,49003
000006d0,00000001,000ffffe,49479
00000750,00000001,000ffffe,49989
000007c0,00000f7c,00080442,50075
00000760,0000000a,00080443,50493
000007c0,00000007,00080444,50738
00000760,0000000a,00080445,51105
000007d4,00000001,000ffffe,51518
0000073c,00000001,000ffffe,51969
000006d0,00000001,000ffffe,52195
00000740,00000001,000ffffe,52548
00000718,00000001,000ffffe,52814
000006e8,00000001,000ffffe,52859
00000718,00000001,000ffffe,52882
000006f0,00000002,000ffffe,52895
00000720,00000002,000ffffe,53173
00000738,00000001,000ffffe,53583
000007c4,00000001,000ffffe,53789
000007cc,00000001,000ffffe,54164
000007d0,00000001,000ffffe,54352
000006fc,00000740,000800a0,54580
000007a4,00000011,00080480,54702
00000790,00000011,000800a2,55141
00000784,00000002,000ffffe,55346
000007c4,00000001,000ffffe,55727
00000710,00000011,00080401,56174
000006e8,00000001,000ffffe,56374
00000718,00000001,000ffffe,56754
0000073c,00000001,000ffffe,57184
00000720,00000002,000ffffe,57640
000006c4,00000002,000ffffe,57868
000007c0,00000007,00080440,58227
0000077c,00000001,000ffffe,58638
000007a4,00000011,00080480,58863
000007c0,00000007,00080443,58958
000007cc,00000001,000ffffe,59005
00000794,00000001,000ffffe,59032
0000077c,00000001,000ffffe,59046
000007b4,00000002,000ffffe,59326
000007d0,00000001,000ffffe,59465
00000750,00000001,000ffffe,59807
00000708,00000002,000ffffe,60251
00000710,00000011,00080401,60488
000006c4,00000002,000ffffe,60856
000006cc,0000000a,00080480,61392
000006bc,00000001,000ffffe,61823
000007d0,00000001,000ffffe,62283
00000794,00000001,000ffffe,62785
000006fc,00000740,000800af,62902
00000784,00000002,000ffffe,63277
000007c4,00000001,000ffffe,63522
00000760,0000000a,00080446,63894
000007cc,00000001,000ffffe,64067
0000072c,00000007,00080480,64404
00000708,00000002,000ffffe,64565
00000708,00000002,000ffffe,64888
000006bc,00000001,000ffffe,65049
0000073c,00000001,000ffffe,65370
000006fc,00000011,000800b8,65547
000006cc,0000000a,00080480,65621
00000710,00000011,00080404,65669
00000730,00000001,000ffffe,65674
00000700,00000001,000ffffe,65685
00000730,00000001,000ffffe,65691
00000740,00000001,000ffffe,65966
000006c4,00000002,000ffffe,66105
000007d4,00000001,000ffffe,66445
00000750,00000001,000ffffe,66616
00000758,00000002,000ffffe,66703
000007ac,00000001,000ffffe,67017
000007d0,00000001,000ffffe,67175
000007a4,00000011,00080480,67542
000007d0,00000001,000ffffe,67702
00000764,00000001,000ffffe,68030
000007cc,00000001,000ffffe,68466
000006d0,00000001,000ffffe,68924
00000720,00000002,000ffffe,69426
00000700,00000001,000ffffe,69676
00000738,00000001,000ffffe,69802
00000720,00000002,000ffffe,70106
00000718,00000001,000ffffe,70257
000006c4,00000002,000ffffe,70606
00000760,0000000a,00080441,71060
00000790,00000011,000800bf,71530
00000750,00000001,000ffffe,71746
000007d4,00000001,000ffffe,72102
000007a4,00000011,00080481,72536
000006fc,00000011,000800c4,72985
00000718,00000001,000ffffe,73194
000006e8,00000001,000ffffe,73307
00000718,00000001,000ffffe,73364
000006f0,00000002,000ffffe,73394
000006d0,00000001,000ffffe,73408
00000720,00000002,000ffffe,73417
0000073c,00000001,000ffffe,73692
000006bc,00000001,000ffffe,74102
000006c4,00000002,000ffffe,74580
000006cc,0000000a,00080481,74827
00000750,00000001,000ffffe,74938
000007b4,00000002,000ffffe,75239
000007ac,00000001,000ffffe,75628
00000758,00000002,000ffffe,76096
000007cc,00000001,000ffffe,76329
000007cc,00000001,000ffffe,76686
000007b4,00000002,000ffffe,76956
0000072c,00000007,00080481,77278
000006c4,00000002,000ffffe,77432
00000730,00000001,000ffffe,77511
000006cc,0000000a,00080481,77832
00000700,00000001,000ffffe,78219
000006c4,00000002,000ffffe,78690
000007c0,00000007,00080440,79202
000007b4,00000002,000ffffe,79451
0000077c,00000001,000ffffe,79817
00000758,00000002,000ffffe,80002
000007ac,00000001,000ffffe,80333
00000790,00000011,000800d1,80787
00000790,0000001b,000800d3,81256
000006f0,00000002,000ffffe,81461
000006d0,00000001,000ffffe,81815
00000720,00000002,000ffffe,81994
000006bc,00000001,000ffffe,82322
0000072c,00000007,00080481,82493
00000718,00000001,000ffffe,82570
000006c4,00000002,000ffffe,82613
00000700,00000001,000ffffe,82873
000006cc,0000000a,00080481,83013
000006bc,00000001,000ffffe,83070
000007c4,00000001,000ffffe,83375
000007c4,00000001,000ffffe,83528
00000784,00000002,000ffffe,83606
000007ac,00000001,000ffffe,83644
000007c4,00000001,000ffffe,83664
00000790,00000011,000800d5,83962
000007b4,00000002,000ffffe,84360
000007cc,00000001,000ffffe,84566
000007d4,00000001,000ffffe,84670
00000760,0000000a,00080445,84971
000007cc,00000001,000ffffe,85348
00000718,00000001,000ffffe,85813
000006f0,00000002,000ffffe,86047
000006d0,00000001,000ffffe,86163
00000720,00000002,000ffffe,86223
00000700,00000001,000ffffe,86252
000006f0,00000002,000ffffe,86540
00000730,00000001,000ffffe,86683
000006bc,00000001,000ffffe,87027
000006cc,0000000a,00080481,87480
00000760,0000000a,00080441,87942
000007c0,00000007,00080443,88442
000007a4,00000011,00080481,88704
00000758,00000002,000ffffe,89055
000007d4,00000001,000ffffe,89477
00000794,00000001,000ffffe,89689
000006c4,00000002,000ffffe,90068
000006f0,00000002,000ffffe,90497
00000740,00000001,000ffffe,90711
000006f0,00000002,000ffffe,90820
00000718,00000001,000ffffe,91113
000006fc,00000011,000800e9,91516
00000730,00000001,000ffffe,91694
00000784,00000002,000ffffe,92064
00000764,00000001,000ffffe,92248
000007b4,00000002,000ffffe,92342
00000794,00000001,000ffffe,92388
000007cc,00000001,000ffffe,92412
000007a4,00000011,00080481,92712
000007d0,00000001,000ffffe,93110
00000758,00000002,000ffffe,93590
00000764,00000001,000ffffe,93829
00000730,00000001,000ffffe,94189
00000708,00000002,000ffffe,94610
00000740,00000001,000ffffe,95059
000006d0,00000001,000ffffe,95556
00000738,00000001,000ffffe,95805
000006d0,00000001,000ffffe,95930
0000073c,00000001,000ffffe,95993
00000730,00000001,000ffffe,96025
000007a4,00000011,00080481,96329
00000750,00000001,000ffffe,96729
0000077c,00000001,000ffffe,97209
00000790,00000011,000800f0,97737
00000740,00000001,000ffffe,98217
00000720,00000002,000ffffe,98706
000006cc,0000000a,00080481,99198
00000708,00000002,000ffffe,99672
00000730,00000001,000ffffe,100152
000007c4,00000001,000ffffe,100393
000007d0,00000001,000ffffe,100514
0000079c,00000002,000ffffe,100576
00000784,00000002,000ffffe,100607
0000077c,00000001,000ffffe,100622
000007c0,00000007,00080442,100908
000007d4,00000001,000ffffe,101314
00000758,00000002,000ffffe,101793
00000760,0000000a,00080447,102312
00000718,00000001,000ffffe,102559
000006e8,00000001,000ffffe,102927
000006d0,00000001,000ffffe,103351
00000730,00000001,000ffffe,103803
000006c4,00000002,000ffffe,104302
000007b4,00000002,000ffffe,104791
00000758,00000002,000ffffe,105036
00000784,00000002,000ffffe,105159
000007d4,00000001,000ffffe,105220
000007d0,00000001,000ffffe,105491
000007d0,00000001,000ffffe,105627
000007d0,00000001,000ffffe,105967
000007d0,00000001,000ffffe,106409
00000700,00000001,000ffffe,106870
000006bc,00000001,000ffffe,107101
00000738,00000001,000ffffe,107217
000006fc,00000011,00080105,107531
000006e8,00000001,000ffffe,107904
0000072c,00000007,00080481,108105
00000708,00000002,000ffffe,108198
00000708,00000002,000ffffe,108487
000006bc,00000001,000ffffe,108631
000006f0,00000002,000ffffe,108705
00000784,00000002,000ffffe,108742
00000794,00000001,000ffffe,108760
00000750,00000001,000ffffe,108770
00000784,00000002,000ffffe,109048
0000079c,00000002,000ffffe,109187
000007ac,00000001,000ffffe,109256
000007b4,00000002,000ffffe,109564
000007c0,00000007,00080443,109723
0000077c,00000001,000ffffe,110066
000007a4,00000011,00080481,110257
000007c0,00000007,00080445,110335
00000784,00000002,000ffffe,110646
000006cc,0000000a,00080481,111052
00000738,00000001,000ffffe,111514
0000072c,00000007,00080481,111756
00000730,00000001,000ffffe,112108
00000700,00000001,000ffffe,112527
00000730,00000001,000ffffe,112737
000007c4,00000001,000ffffe,113114
000007d0,00000001,000ffffe,113303
0000079c,00000002,000ffffe,113399
00000784,00000002,000ffffe,113447
000007cc,00000001,000ffffe,113710
000007ac,00000001,000ffffe,114114
0000079c,00000002,000ffffe,114589
00000738,00000001,000ffffe,115097
00000738,00000001,000ffffe,115352
000006fc,00000011,00080112,115496
000006e8,00000001,000ffffe,115784
000006f0,00000002,000ffffe,116177
00000738,00000001,000ffffe,116644
00000718,00000001,000ffffe,117150
00000794,00000001,000ffffe,117643
000007d4,00000001,000ffffe,117890
0000077c,00000001,000ffffe,118014
00000750,00000001,000ffffe,118316
00000750,00000001,000ffffe,118707
000007a4,00000011,00080481,118919
00000784,00000002,000ffffe,119274
0000072c,00000007,00080481,119704
000006e8,00000001,000ffffe,119911
00000710,00000011,00080402,120034
0000072c,00000007,00080481,120078
00000700,00000001,000ffffe,120339
000006f0,00000002,000ffffe,120474
000006e8,00000001,000ffffe,120812
000006e8,00000001,000ffffe,120982
000006fc,00000011,00080120,121323
000007c4,00000001,000ffffe,121470
000007ac,00000001,000ffffe,121552
00000750,00000001,000ffffe,121865
0000077c,00000001,000ffffe,122022
000007d0,00000001,000ffffe,122101
0000077c,00000001,000ffffe,122141
000007a4,00000011,00080481,122417
00000764,00000001,000ffffe,122803
00000750,00000001,000ffffe,123276
000007d4,00000001,000ffffe,123513
000006fc,00000011,00080121,123648
0000073c,00000001,000ffffe,123692
00000730,00000001,000ffffe,123962
0000072c,00000007,00080481,124375
0000072c,00000007,00080481,124579
0000072c,00000007,00080481,124953
00000738,00000001,000ffffe,125374
00000700,00000001,000ffffe,125588
000007a4,00000011,00080481,125983
000007c0,00000007,00080441,126163
00000794,00000001,000ffffe,126492
00000784,00000002,000ffffe,126661
00000790,00000011,00080125,127000
000007d0,00000001,000ffffe,127418
000006d0,00000001,000ffffe,127875
00000720,00000002,000ffffe,128105
00000700,00000001,000ffffe,128219
00000738,00000001,000ffffe,128277
00000720,00000002,000ffffe,128547
00000718,00000001,000ffffe,128681
00000718,00000001,000ffffe,128749
00000718,00000001,000ffffe,129055
0000072c,00000007,00080481,129454
000006f0,00000002,000ffffe,129646
000006cc,0000000a,00080481,129753
000006c4,00000002,000ffffe,129795
0000079c,00000002,000ffffe,130060
00000784,00000002,000ffffe,130193
0000077c,00000001,000ffffe,130259
0000077c,00000001,000ffffe,130293
000007d4,00000001,000ffffe,130679
000007c4,00000001,000ffffe,130744
000007c0,00000007,00080443,130783
000007c0,00000007,00080443,130800
0000077c,00000001,000ffffe,130803
000007cc,00000001,000ffffe,130813
000007c0,00000007,00080443,130817
000007a4,00000011,00080481,130824
000007d0,00000001,000ffffe,131086
000007d4,00000001,000ffffe,131223
00000750,00000001,000ffffe,131292
00000758,00000002,000ffffe,131328
00000760,0000000a,00080445,131354
000007b4,00000002,000ffffe,131627
000007d4,00000001,000ffffe,131767
00000760,0000000a,00080447,131847
0000077c,00000001,000ffffe,131874
00000738,00000001,000ffffe,132132
00000700,00000001,000ffffe,132533
000006e8,00000001,000ffffe,132734
000006d0,00000001,000ffffe,132835
000006d0,00000001,000ffffe,132886
0000072c,00000007,00080481,132918
00000708,00000002,000ffffe,133198
0000073c,00000001,000ffffe,133340
000006cc,0000000a,00080481,133421
000006e8,00000001,000ffffe,133720
0000077c,00000001,000ffffe,134114
000007cc,00000001,000ffffe,134583
000007b4,00000002,000ffffe,134819
000007ac,00000001,000ffffe,134936
00000764,00000001,000ffffe,135235
00000750,00000001,000ffffe,135385
00000794,00000001,000ffffe,135732
000007b4,00000002,000ffffe,135907
000006f0,00000002,000ffffe,136234
00000740,00000001,000ffffe,136397
0000073c,00000001,000ffffe,136719
000006fc,00000011,0008013b,137168
000006cc,0000000a,00080482,137378
00000710,00000011,00080404,137494
00000730,00000001,000ffffe,137533
00000700,00000001,000ffffe,137561
000006e8,00000001,000ffffe,137847
00000720,00000002,000ffffe,138263
000007c0,00000007,00080440,138476
000007cc,00000001,000ffffe,138846
00000750,00000001,000ffffe,139274
000007c0,00000007,00080445,139734
00000758,00000002,000ffffe,140228
000006d0,00000001,000ffffe,140477
00000720,00000002,000ffffe,140843
00000700,00000001,000ffffe,141025
00000738,00000001,000ffffe,141117
00000710,00000011,00080403,141451
000006bc,00000001,000ffffe,141834
00000730,00000001,000ffffe,142034
00000720,00000002,000ffffe,142407
000007a4,00000011,00080482,142848
00000764,00000001,000ffffe,143285
000007a4,00000011,00080482,143528
0000077c,00000001,000ffffe,143626
0000079c,00000002,000ffffe,144073
000007d0,00000001,000ffffe,144147
00000760,0000000a,00080445,144194
00000790,00000011,00080146,144460
00000750,00000001,000ffffe,144574
000006e8,00000001,000ffffe,144911
000006d0,00000001,000ffffe,145080
000006d0,00000001,000ffffe,145165
0000072c,00000007,00080482,145214
000006bc,00000001,000ffffe,145230
00000720,00000002,000ffffe,145514
000006bc,00000001,000ffffe,145655
000006d0,00000001,000ffffe,145998
000006f0,00000002,000ffffe,146171
00000708,00000002,000ffffe,146497
000007d0,00000001,000ffffe,146931
000007c0,00000007,00080441,147155
00000760,0000000a,00080442,147539
00000790,00000011,0008014a,147737
00000750,00000001,000ffffe,147817
000007c0,00000f7c,00080444,147886
000007cc,00000001,000ffffe,148137
00000790,00000011,0008014d,148553
00000710,00000011,00080400,149025
00000700,00000001,000ffffe,149517
00000708,00000002,000ffffe,150012
000006cc,0000000a,00080482,150507
00000708,00000002,000ffffe,150743
000007ac,00000001,000ffffe,151104
00000790,00000011,00080151,151541
000007c4,00000001,000ffffe,151736
00000750,00000001,000ffffe,151842
0000077c,00000001,000ffffe,152135
000007d0,00000001,000ffffe,152282
0000077c,00000001,000ffffe,152356
00000794,00000001,000ffffe,152665
000007a4,00000011,00080482,152836
00000760,0000000a,00080446,152907
00000738,00000001,000ffffe,153209
000006bc,00000001,000ffffe,153365
00000718,00000001,000ffffe,153715
0000073c,00000001,000ffffe,154162
000006c4,00000002,000ffffe,154387
00000720,00000002,000ffffe,154771
000006c4,00000002,000ffffe,155203
000007c0,00000007,00080441,155664
00000760,0000000a,00080443,156167
000007d4,00000001,000ffffe,156648
0000079c,00000002,000ffffe,157134
000006d0,00000001,000ffffe,157376
000006fc,00000011,0008015f,157514
000006c4,00000002,000ffffe,157800
00000740,00000001,000ffffe,157950
00000700,00000001,000ffffe,158026
00000720,00000002,000ffffe,158337
0000073c,00000001,000ffffe,158731
00000710,00000011,00080405,158945
000006fc,00000011,00080165,159316
00000760,0000000a,00080440,159495
000007c0,00000007,00080441,159825
000007a4,00000011,00080482,160002
0000079c,00000002,000ffffe,160071
000007d4,00000001,000ffffe,160384
00000784,00000002,000ffffe,160782
00000750,00000001,000ffffe,160980
000007d0,00000001,000ffffe,161080
000007d4,00000001,000ffffe,161370
000006bc,00000001,000ffffe,161755
000006fc,00000011,00080167,161964
000006c4,00000002,000ffffe,162046
00000740,00000001,000ffffe,162094
00000700,00000001,000ffffe,162119
000006d0,00000001,000ffffe,162132
00000718,00000001,000ffffe,162139
00000738,00000001,000ffffe,162143
00000740,00000001,000ffffe,162417
000006bc,00000001,000ffffe,162826
000006c4,00000002,000ffffe,163032
000006cc,0000000a,00080482,163143
000006d0,00000001,000ffffe,163186
00000738,00000001,000ffffe,163452
0000079c,00000002,000ffffe,163858
00000794,00000001,000ffffe,164060
00000794,00000001,000ffffe,164162
000007a4,00000011,00080482,164469
00000760,0000000a,00080443,164608
00000794,00000001,000ffffe,164944
000007ac,00000001,000ffffe,165117
000007c0,00000007,00080445,165210
00000784,00000002,000ffffe,165249
000007c0,00000007,00080446,165516
00000738,00000001,000ffffe,165913
0000072c,00000007,00080482,166121
00000720,00000002,000ffffe,166489
00000720,00000002,000ffffe,166676
000006d0,00000001,000ffffe,166769
00000740,00000001,000ffffe,167088
000006fc,00000011,00080173,167264
000006c4,00000002,000ffffe,167601
0000077c,00000001,000ffffe,168048
000007a4,00000011,00080482,168528
00000764,00000001,000ffffe,169016
00000760,0000000a,00080445,169517
000007c0,00000007,00080447,170000
00000710,00000011,00080401,170493
00000730,00000001,000ffffe,170719
000006bc,00000001,000ffffe,171080
00000720,00000002,000ffffe,171262
000006bc,00000001,000ffffe,171352
0000072c,00000007,00080482,171404
000006d0,00000001,000ffffe,171661
00000740,00000001,000ffffe,171793
00000738,00000001,000ffffe,172131
000007ac,00000001,000ffffe,172572
000007ac,00000001,000ffffe,172793
00000760,0000000a,00080442,172913
00000794,00000001,000ffffe,172960
00000764,00000001,000ffffe,173228
00000758,00000002,000ffffe,173635
00000750,00000001,000ffffe,174109
00000700,00000001,000ffffe,174347
00000710,00000011,00080401,174722
000006cc,0000000a,00080482,174895
00000710,00000011,00080403,175232
000006e8,00000001,000ffffe,175653
000006cc,0000000a,00080482,175881
00000718,00000001,000ffffe,175982
00000740,00000001,000ffffe,176277
0000079c,00000002,000ffffe,176426
000007cc,00000001,000ffffe,176771
00000750,00000001,000ffffe,177216
00000760,0000000a,00080443,177448
000007c0,00000007,00080444,177557
00000760,0000000a,00080445,177856
000007d4,00000001,000ffffe,178235
00000730,00000001,000ffffe,178701
00000708,00000002,000ffffe,179207
00000738,00000001,000ffffe,179586
00000718,00000001,000ffffe,179650
00000718,00000001,000ffffe,179922
00000718,00000001,000ffffe,180330
00000794,00000001,000ffffe,180806
000006fc,00000740,00080188,181314
00000794,00000001,000ffffe,181316
000007a4,00000011,00080482,181827
00000760,0000000a,00080445,182068
000007a4,00000011,00080482,182439
00000730,00000001,000ffffe,182845
000006f0,00000002,000ffffe,183297
00000718,00000001,000ffffe,183522
000006fc,00000011,00080191,183891
00000730,00000001,000ffffe,184052
000006bc,00000001,000ffffe,184141
00000720,00000002,000ffffe,184187
000006bc,00000001,000ffffe,184209
0000072c,00000007,00080482,184227
000006c4,00000002,000ffffe,184500
00000758,00000002,000ffffe,184911
00000764,00000001,000ffffe,185116
0000077c,00000001,000ffffe,185491
00000784,00000002,000ffffe,185680
000007d4,00000001,000ffffe,186013
000007c4,00000001,000ffffe,186452
000007c0,00000007,00080446,186678
00000718,00000001,000ffffe,187054
00000740,00000001,000ffffe,187485
00000720,00000002,000ffffe,187702
000006bc,00000001,000ffffe,188081
000006f0,00000002,000ffffe,188512
000006c4,00000002,000ffffe,188967
00000784,00000002,000ffffe,189195
00000760,0000000a,00080441,189557
000007b4,00000002,000ffffe,189966
000007d4,00000001,000ffffe,190174
00000760,0000000a,00080444,190288
0000077c,00000001,000ffffe,190332
000007cc,00000001,000ffffe,190359
000007b4,00000002,000ffffe,190374
00000758,00000002,000ffffe,190653
00000784,00000002,000ffffe,190793
00000794,00000001,000ffffe,191134
0000073c,00000001,000ffffe,191577
00000740,00000001,000ffffe,191799
00000708,00000002,000ffffe,192183
00000730,00000001,000ffffe,192374
00000710,00000011,00080405,192726
00000700,00000001,000ffffe,193150
00000784,00000002,000ffffe,193611
000007cc,00000001,000ffffe,194112
000007c0,00000007,00080444,194609
00000764,00000001,000ffffe,194849
000007a4,00000011,00080482,195228
0000077c,00000001,000ffffe,195394
000006cc,0000000a,00080482,195734
0000073c,00000001,000ffffe,195891
0000073c,00000001,000ffffe,196214
00000700,00000001,000ffffe,196376
000006f0,00000002,000ffffe,196698
00000730,00000001,000ffffe,196858
00000710,00000011,00080405,196955
00000740,00000001,000ffffe,196980
000006d0,00000001,000ffffe,197001
00000738,00000001,000ffffe,197012
000006d0,00000001,000ffffe,197018
000006fc,00000011,000801ab,197309
00000708,00000002,000ffffe,197432
00000790,00000011,000801a5,197788
00000794,00000001,000ffffe,197943
0000079c,00000002,000ffffe,198030
00000750,00000001,000ffffe,198344
00000784,00000002,000ffffe,198503
000007d4,00000001,000ffffe,198853
00000784,00000002,000ffffe,199030
000007ac,00000001,000ffffe,199357
00000720,00000002,000ffffe,199794
00000718,00000001,000ffffe,200251
000006c4,00000002,000ffffe,200753
00000738,00000001,000ffffe,201003
000006e8,00000001,000ffffe,201129
000006c4,00000002,000ffffe,201433
000006bc,00000001,000ffffe,201584
00000784,00000002,000ffffe,201933
000007a4,00000011,00080482,202394
000007c4,00000001,000ffffe,202841
00000794,00000001,000ffffe,203073
00000790,00000011,000801b2,203445
000007d4,00000001,000ffffe,203847
00000730,00000001,000ffffe,204296
000006bc,00000001,000ffffe,204521
00000720,00000002,000ffffe,204635
000006bc,00000001,000ffffe,204691
0000072c,00000007,00080483,204726
00000718,00000001,000ffffe,204735
000006c4,00000002,000ffffe,204744
000006f0,00000002,000ffffe,205020
00000700,00000001,000ffffe,205429
00000708,00000002,000ffffe,205907
00000790,00000011,000801b4,206161
00000794,00000001,000ffffe,206265
00000758,00000002,000ffffe,206566
00000750,00000001,000ffffe,206955
0000079c,00000002,000ffffe,207423
0000077c,00000001,000ffffe,207656
0000077c,00000001,000ffffe,208013
000006d0,00000001,000ffffe,208192
00000708,00000002,000ffffe,208283
000006cc,0000000a,00080483,208608
00000708,00000002,000ffffe,208759
000006d0,00000001,000ffffe,208838
00000710,00000011,00080403,209166
00000738,00000001,000ffffe,209546
00000708,00000002,000ffffe,210017
00000760,0000000a,00080441,210532
00000758,00000002,000ffffe,210778
000007b4,00000002,000ffffe,211145
