0000037c,00000001,000ffffd,18
000007d0,00000001,000ffffe,27602
000007d0,00000001,000ffffe,27973
000007ac,00000001,000ffffe,28159
000007ac,00000001,000ffffe,28492
0000084c,00000001,000ffffe,28659
000007d0,00000001,000ffffe,28743
000007d0,00000001,000ffffe,29057
000007b4,00000002,000ffffe,29654
000007ec,00000002,000ffffe,29754
0000082c,00000244,00080445,30033
000007b4,00000002,000ffffe,30044
000007ec,00000002,000ffffe,30429
0000085c,00000001,000ffffe,30621
000007b4,00000002,000ffffe,30719
00000834,00000001,000ffffe,30767
0000085c,00000001,000ffffe,30792
00000834,00000001,000ffffe,30805
000007ac,00000001,000ffffe,30812
000007d0,00000001,000ffffe,30816
00000834,00000001,000ffffe,31090
00000834,00000001,000ffffe,31499
00000800,00000001,000ffffe,31704
000007ec,00000002,000ffffe,31808
000007b4,00000002,000ffffe,31860
000007b4,00000002,000ffffe,32126
00000854,00000001,000ffffe,32530
00000820,00000002,000ffffe,32734
00000858,00000001,000ffffe,32835
0000083c,00000002,000ffffe,33127
000007fc,00000013,00080043,33290
000007ac,00000001,000ffffe,33617
000007bc,0000000c,00080401,33801
0000083c,00000002,000ffffe,33878
000007ac,00000001,000ffffe,33921
000007d8,00000001,000ffffe,34183
00000818,00000001,000ffffe,34586
000007d0,00000001,000ffffe,35161
00000894,00000001,000ffffe,35348
00000884,00000001,000ffffe,35442
0000082c,000003c9,00080450,35756
0000084c,00000001,000ffffe,35761
000007d0,00000001,000ffffe,35921
000007d0,00000001,000ffffe,36273
0000084c,00000001,000ffffe,36721
0000083c,00000002,000ffffe,37186
0000083c,00000002,000ffffe,37690
000007b4,00000002,000ffffe,38182
000007bc,0000000c,00080400,38678
000007ac,00000001,000ffffe,39150
00000848,00000007,00080400,39398
000007d0,00000001,000ffffe,39753
00000848,00000007,00080400,39940
00000820,00000002,000ffffe,40026
0000085c,00000001,000ffffe,40071
000007d8,00000001,000ffffe,40334
000007d0,00000001,000ffffe,40466
00000818,00000001,000ffffe,40804
0000083c,00000002,000ffffe,41246
0000084c,00000001,000ffffe,41466
00000834,00000001,000ffffe,41577
0000083c,00000002,000ffffe,41902
0000082c,00000244,00080459,42212
00000820,00000002,000ffffe,42308
000007ac,00000001,000ffffe,42782
00000820,00000002,000ffffe,43021
00000858,00000001,000ffffe,43379
000007fc,00000013,00080045,43577
000007d0,00000001,000ffffe,43889
0000083c,00000002,000ffffe,44327
000007d0,00000001,000ffffe,44545
000007ac,00000001,000ffffe,44655
000007ac,00000001,000ffffe,44950
0000084c,00000001,000ffffe,45098
00000818,00000001,000ffffe,45444
00000858,00000001,000ffffe,45889
000007bc,0000000c,00080401,46123
000007ac,00000001,000ffffe,46224
00000818,00000001,000ffffe,46908
0000082c,00000244,00080471,47099
00000818,00000001,000ffffe,47374
00000820,00000002,000ffffe,47880
00000854,00000001,000ffffe,48132
00000820,00000002,000ffffe,48260
00000858,00000001,000ffffe,48323
0000083c,00000002,000ffffe,48596
00000834,00000001,000ffffe,49003
0000083c,00000002,000ffffe,49480
000007ac,00000001,000ffffe,49989
00000820,00000002,000ffffe,50485
000007b4,00000002,000ffffe,50733
000007d0,00000001,000ffffe,51096
00000858,00000001,000ffffe,51518
000007bc,0000000c,00080401,51980
000007ac,00000001,000ffffe,52195
000007b4,00000002,000ffffe,52549
000007fc,00000013,00080044,52743
000007b4,00000002,000ffffe,52815
00000800,00000001,000ffffe,52859
00000834,00000001,000ffffe,52882
000007d8,00000001,000ffffe,52894
000008d8,00000001,000ffffe,53172
00000820,00000002,000ffffe,53584
000007fc,00000013,00080047,53807
00000818,00000001,000ffffe,54352
00000820,00000002,000ffffe,54687
0000082c,00000244,00080456,54743
000007bc,0000000c,00080400,55136
0000083c,00000002,000ffffe,55346
000007d8,00000001,000ffffe,55727
0000085c,00000001,000ffffe,56158
0000084c,00000001,000ffffe,56374
0000084c,00000001,000ffffe,56754
00000858,00000001,000ffffe,57184
000007ec,00000002,000ffffe,57640
000007ec,00000002,000ffffe,57868
00000800,00000001,000ffffe,58221
00000854,00000001,000ffffe,58638
00000854,00000001,000ffffe,58847
000007fc,00000013,00080046,58970
000007c0,00000001,000ffffe,59005
000007ec,00000002,000ffffe,59047
00000818,00000001,000ffffe,59325
00000854,00000001,000ffffe,59465
0000082c,00000244,0008046d,59611
000007ec,00000002,000ffffe,59808
00000834,00000001,000ffffe,60250
0000084c,00000001,000ffffe,60472
0000085c,00000001,000ffffe,60855
00000820,00000002,000ffffe,61048
000007d0,00000001,000ffffe,61383
00000854,00000001,000ffffe,61823
00000820,00000002,000ffffe,62284
00000800,00000001,000ffffe,62785
00000848,00000007,00080401,63282
0000083c,00000002,000ffffe,63523
000007d8,00000001,000ffffe,63885
00000854,00000001,000ffffe,64067
00000848,00000007,00080401,64404
00000818,00000001,000ffffe,64564
00000818,00000001,000ffffe,64887
00000818,00000001,000ffffe,65049
000007fc,00000013,00080047,65388
000007ec,00000002,000ffffe,65532
00000848,00000007,00080401,65659
00000854,00000001,000ffffe,65674
00000800,00000001,000ffffe,65685
00000848,00000007,00080401,65697
000007d0,00000001,000ffffe,65966
0000085c,00000001,000ffffe,66104
0000082c,00000244,00080448,66191
00000858,00000001,000ffffe,66445
00000858,00000001,000ffffe,66616
00000858,00000001,000ffffe,66702
00000818,00000001,000ffffe,67017
0000084c,00000001,000ffffe,67175
00000848,00000007,00080401,67532
000007ac,00000001,000ffffe,67702
00000848,00000007,00080401,68036
000007c0,00000001,000ffffe,68466
000007d8,00000001,000ffffe,68924
000007bc,0000000c,00080401,69436
0000084c,00000001,000ffffe,69676
00000800,00000001,000ffffe,69802
000007fc,00000013,00080047,70123
00000854,00000001,000ffffe,70257
000007c0,00000001,000ffffe,70605
000008e0,00000001,000ffffe,71051
000007ac,00000001,000ffffe,71514
0000083c,00000002,000ffffe,71747
00000800,00000001,000ffffe,72102
00000858,00000001,000ffffe,72520
000007ac,00000001,000ffffe,72969
00000854,00000001,000ffffe,73194
0000084c,00000001,000ffffe,73307
0000084c,00000001,000ffffe,73364
000007ec,00000002,000ffffe,73394
00000820,00000002,000ffffe,73417
000007bc,0000000c,00080400,73419
00000820,00000002,000ffffe,73693
0000083c,00000002,000ffffe,74580
0000082c,00000244,00080447,74681
00000848,00000007,00080400,74824
000007b4,00000002,000ffffe,74939
000007ec,00000002,000ffffe,75239
00000854,00000001,000ffffe,75628
00000858,00000001,000ffffe,76095
00000790,00000001,000ffffe,76329
00000818,00000001,000ffffe,76686
00000858,00000001,000ffffe,76865
000007bc,0000000c,00080400,76966
0000084c,00000001,000ffffe,77272
000007c0,00000001,000ffffe,77431
00000854,00000001,000ffffe,77511
000007d8,00000001,000ffffe,77823
0000084c,00000001,000ffffe,78689
0000082c,00000244,0008044d,78798
00000818,00000001,000ffffe,79196
000007ec,00000002,000ffffe,79451
000007bc,0000000c,00080400,79828
0000084c,00000001,000ffffe,80001
000007d8,00000001,000ffffe,80333
0000084c,00000001,000ffffe,80771
00000800,00000001,000ffffe,81230
00000820,00000002,000ffffe,81461
0000083c,00000002,000ffffe,81816
000007b4,00000002,000ffffe,81994
00000854,00000001,000ffffe,82322
00000820,00000002,000ffffe,82488
00000858,00000001,000ffffe,82570
000007bc,0000000c,00080401,82623
000007ec,00000002,000ffffe,82874
000007d0,00000001,000ffffe,83004
0000083c,00000002,000ffffe,83071
000007d0,00000001,000ffffe,83375
000007d8,00000001,000ffffe,83528
000007ec,00000002,000ffffe,83606
000007fc,00000013,00080048,83662
00000800,00000001,000ffffe,83664
00000848,00000007,00080401,83952
00000818,00000001,000ffffe,84359
00000854,00000001,000ffffe,84566
000007ec,00000002,000ffffe,84671
0000083c,00000002,000ffffe,84963
00000818,00000001,000ffffe,85348
00000800,00000001,000ffffe,85813
0000083c,00000002,000ffffe,86047
00000854,00000001,000ffffe,86163
00000800,00000001,000ffffe,86222
000007ac,00000001,000ffffe,86252
000007bc,0000000c,00080401,86550
0000083c,00000002,000ffffe,86684
000007d8,00000001,000ffffe,87027
000007bc,0000000c,00080401,87482
00000858,00000001,000ffffe,87933
000007fc,00000013,00080049,88454
000008d8,00000001,000ffffe,88688
00000858,00000001,000ffffe,89054
00000834,00000001,000ffffe,89477
0000084c,00000001,000ffffe,89689
000007c0,00000001,000ffffe,90067
00000848,00000007,00080400,90502
00000820,00000002,000ffffe,90712
000007d0,00000001,000ffffe,90819
0000083c,00000002,000ffffe,91114
00000820,00000002,000ffffe,91501
00000848,00000007,00080400,91700
00000834,00000001,000ffffe,92063
000007fc,00000013,0008004a,92266
000007d8,00000001,000ffffe,92341
000007d0,00000001,000ffffe,92388
00000818,00000001,000ffffe,92412
00000800,00000001,000ffffe,92696
0000083c,00000002,000ffffe,93111
000007fc,00000013,00080049,93607
000007ac,00000001,000ffffe,93829
00000800,00000001,000ffffe,94189
00000820,00000002,000ffffe,94610
0000083c,00000002,000ffffe,95060
000007ec,00000002,000ffffe,95557
00000800,00000001,000ffffe,95805
00000818,00000001,000ffffe,95930
0000084c,00000001,000ffffe,95993
00000818,00000001,000ffffe,96025
00000834,00000001,000ffffe,96313
000007ac,00000001,000ffffe,96729
00000848,00000007,00080400,97215
000007c0,00000001,000ffffe,97721
00000848,00000007,00080401,98223
00000800,00000001,000ffffe,98705
000007fc,00000013,0008004a,99207
000007d0,00000001,000ffffe,99671
000007ac,00000001,000ffffe,100152
0000083c,00000002,000ffffe,100394
00000820,00000002,000ffffe,100515
00000848,00000007,00080401,100581
000007d0,00000001,000ffffe,100622
000007fc,00000013,00080049,100624
0000085c,00000001,000ffffe,100902
000007bc,0000000c,00080401,101325
00000848,00000007,00080401,101798
000007bc,0000000c,00080401,102314
00000800,00000001,000ffffe,102927
0000082c,00000244,00080461,103138
00000848,00000007,00080401,103357
000007ac,00000001,000ffffe,103803
0000083c,00000002,000ffffe,104302
00000858,00000001,000ffffe,104790
0000084c,00000001,000ffffe,105035
00000848,00000007,00080401,105164
000007ac,00000001,000ffffe,105220
000007d8,00000001,000ffffe,105491
00000800,00000001,000ffffe,105627
0000084c,00000001,000ffffe,105967
000008d4,0000000c,0008004a,106420
000007ec,00000002,000ffffe,106871
00000818,00000001,000ffffe,107101
00000848,00000007,00080400,107521
0000082c,00000244,00080476,107796
0000083c,00000002,000ffffe,107905
0000085c,00000001,000ffffe,108099
000007bc,0000000c,00080400,108208
0000084c,00000001,000ffffe,108486
00000800,00000001,000ffffe,108631
000007d8,00000001,000ffffe,108704
000007d0,00000001,000ffffe,108741
000007d0,00000001,000ffffe,108760
00000848,00000007,00080400,108776
0000084c,00000001,000ffffe,109047
000007bc,0000000c,00080400,109197
0000084c,00000001,000ffffe,109256
00000800,00000001,000ffffe,109563
00000820,00000002,000ffffe,109718
00000858,00000001,000ffffe,110066
000007d0,00000001,000ffffe,110329
00000854,00000001,000ffffe,110645
0000082c,00000244,00080449,110820
000007d8,00000001,000ffffe,111043
00000820,00000002,000ffffe,111515
0000085c,00000001,000ffffe,111750
000007d8,00000001,000ffffe,112108
0000084c,00000001,000ffffe,112527
00000854,00000001,000ffffe,112737
000007c0,00000001,000ffffe,113114
000007bc,0000000c,00080400,113314
000007bc,0000000c,00080400,113409
00000834,00000001,000ffffe,113446
000007ac,00000001,000ffffe,113710
000007d8,00000001,000ffffe,114114
0000083c,00000002,000ffffe,114589
0000085c,00000001,000ffffe,115097
000007a4,00000001,000ffffe,115352
0000082c,00000244,0008044c,116059
0000083c,00000002,000ffffe,116177
0000082c,00000244,0008046a,116363
0000084c,00000001,000ffffe,116644
00000858,00000001,000ffffe,117150
00000854,00000001,000ffffe,117643
000007ec,00000002,000ffffe,117891
00000854,00000001,000ffffe,118014
000007d0,00000001,000ffffe,118316
0000084c,00000001,000ffffe,118707
000007b4,00000002,000ffffe,119274
00000858,00000001,000ffffe,119698
000007bc,0000000c,00080401,119922
000007d0,00000001,000ffffe,120018
000007b4,00000002,000ffffe,120073
000007bc,0000000c,00080401,120350
000007c0,00000001,000ffffe,120473
00000818,00000001,000ffffe,120812
00000800,00000001,000ffffe,120982
000007ac,00000001,000ffffe,121307
00000858,00000001,000ffffe,121552
00000854,00000001,000ffffe,121865
000007bc,0000000c,00080401,122033
0000082c,00000244,0008045f,122049
000007d8,00000001,000ffffe,122101
000007fc,00000013,0008004c,122159
00000820,00000002,000ffffe,122402
0000083c,00000002,000ffffe,122804
000007b4,00000002,000ffffe,123277
000007ac,00000001,000ffffe,123513
000007d8,00000001,000ffffe,123632
00000800,00000001,000ffffe,123692
00000834,00000001,000ffffe,123962
000008b0,00000001,000ffffe,124369
0000084c,00000001,000ffffe,124573
00000818,00000001,000ffffe,124947
00000800,00000001,000ffffe,125374
000007c0,00000001,000ffffe,125588
000007bc,0000000c,00080400,125978
00000870,00000001,000ffffe,126157
000007d0,00000001,000ffffe,126492
000007b4,00000002,000ffffe,126661
00000858,00000001,000ffffe,127418
0000082c,00000244,00080456,127563
0000085c,00000001,000ffffe,127875
0000082c,0000236e,00080446,127972
00000818,00000001,000ffffe,128104
00000820,00000002,000ffffe,128220
000007d0,00000001,000ffffe,128546
000007ec,00000002,000ffffe,128682
00000858,00000001,000ffffe,128749
0000082c,00000244,00080464,128856
00000864,00000001,000ffffe,129055
000007c0,00000001,000ffffe,129448
000007ac,00000001,000ffffe,129645
000007d0,00000001,000ffffe,129744
00000854,00000001,000ffffe,129794
0000084c,00000001,000ffffe,130059
0000084c,00000001,000ffffe,130192
0000084c,00000001,000ffffe,130259
000007bc,0000000c,00080400,130561
00000858,00000001,000ffffe,130679
000007ec,00000002,000ffffe,130745
000007b4,00000002,000ffffe,130778
0000085c,00000001,000ffffe,130794
00000858,00000001,000ffffe,130803
000007c0,00000001,000ffffe,130808
000007ec,00000002,000ffffe,130812
00000800,00000001,000ffffe,130813
0000082c,00000244,00080446,130872
0000084c,00000001,000ffffe,131086
000007ac,00000001,000ffffe,131223
00000834,00000001,000ffffe,131292
00000818,00000001,000ffffe,131327
00000800,00000001,000ffffe,131345
0000083c,00000002,000ffffe,131627
000007bc,0000000c,00080400,131778
00000854,00000001,000ffffe,131838
00000848,00000007,00080400,131880
0000084c,00000001,000ffffe,132132
00000858,00000001,000ffffe,132533
0000085c,00000001,000ffffe,132734
000007d8,00000001,000ffffe,132835
0000085c,00000001,000ffffe,132886
000007ec,00000002,000ffffe,132913
0000084c,00000001,000ffffe,133197
000007ec,00000002,000ffffe,133341
000007bc,0000000c,00080400,133423
0000084c,00000001,000ffffe,133720
00000820,00000002,000ffffe,134115
0000083c,00000002,000ffffe,134584
000007b4,00000002,000ffffe,134819
00000848,00000007,00080401,134942
00000818,00000001,000ffffe,135235
000007fc,00000013,0008004e,135403
000007bc,0000000c,00080401,135743
000007d8,00000001,000ffffe,135906
0000085c,00000001,000ffffe,136233
000007ac,00000001,000ffffe,136719
0000082c,00000244,00080464,136976
0000084c,00000001,000ffffe,137152
0000083c,00000002,000ffffe,137370
00000800,00000001,000ffffe,137478
000007ec,00000002,000ffffe,137534
0000084c,00000001,000ffffe,137561
000007ec,00000002,000ffffe,137848
000007c0,00000001,000ffffe,138262
000007fc,00000013,0008004e,138864
0000082c,00000244,0008044c,139049
000007fc,00000013,0008004e,139292
00000848,00000007,00080401,139734
00000818,00000001,000ffffe,140227
00000834,00000001,000ffffe,140477
000007ec,00000002,000ffffe,140843
0000085c,00000001,000ffffe,141025
0000084c,00000001,000ffffe,141117
000007ac,00000001,000ffffe,141435
00000884,00000001,000ffffe,141834
000008d8,00000001,000ffffe,142034
000007bc,0000000c,00080400,142417
000007ac,00000001,000ffffe,142832
00000854,00000001,000ffffe,143285
000007d8,00000001,000ffffe,143512
000007d8,00000001,000ffffe,143626
00000858,00000001,000ffffe,143923
000007d0,00000001,000ffffe,144072
000007c0,00000001,000ffffe,144147
000007c0,00000001,000ffffe,144185
0000084c,00000001,000ffffe,144444
000007bc,0000000c,00080400,144585
00000854,00000001,000ffffe,144911
00000848,0000000b,00080400,145090
0000083c,00000002,000ffffe,145166
0000085c,00000001,000ffffe,145208
000007bc,0000000c,00080400,145241
000007ac,00000001,000ffffe,145513
00000818,00000001,000ffffe,145655
000007ac,00000001,000ffffe,145998
000007b4,00000002,000ffffe,146171
0000083c,00000002,000ffffe,146497
000007b4,00000002,000ffffe,146932
00000820,00000002,000ffffe,147150
000007b4,00000002,000ffffe,147531
000007bc,0000000c,00080400,147732
000007c0,00000001,000ffffe,147817
00000818,00000001,000ffffe,148137
00000820,00000002,000ffffe,148538
00000854,00000001,000ffffe,149009
000007b4,00000002,000ffffe,149518
00000820,00000002,000ffffe,150012
00000834,00000001,000ffffe,150498
00000818,00000001,000ffffe,150742
000007ac,00000001,000ffffe,151104
00000834,00000001,000ffffe,151525
00000848,00000007,00080401,151742
000007ec,00000002,000ffffe,151843
000007d0,00000001,000ffffe,152135
0000085c,00000001,000ffffe,152282
00000854,00000001,000ffffe,152356
00000848,00000007,00080401,152826
00000854,00000001,000ffffe,152898
00000790,00000001,000ffffe,153209
0000082c,00000244,00080443,153244
00000858,00000001,000ffffe,153365
000007ec,00000002,000ffffe,153716
000007ec,00000002,000ffffe,154163
0000084c,00000001,000ffffe,154770
0000082c,00000244,00080441,154965
000007ac,00000001,000ffffe,155202
00000818,00000001,000ffffe,155658
000007d8,00000001,000ffffe,156158
000007b4,00000002,000ffffe,156649
000007b4,00000002,000ffffe,157134
000007ec,00000002,000ffffe,157377
00000848,00000007,00080401,157504
000007ac,00000001,000ffffe,157950
000007ac,00000001,000ffffe,158026
000007ec,00000002,000ffffe,158337
0000082c,00000244,00080474,158378
000007ac,00000001,000ffffe,158929
000007ac,00000001,000ffffe,159300
0000082c,00000244,0008045d,159310
0000084c,00000001,000ffffe,159486
000008e8,00000001,000ffffe,159819
000007bc,0000000c,00080400,159997
00000820,00000002,000ffffe,160071
000007b4,00000002,000ffffe,160385
00000800,00000001,000ffffe,160781
00000858,00000001,000ffffe,160980
000007c0,00000001,000ffffe,161080
00000858,00000001,000ffffe,161370
00000834,00000001,000ffffe,161755
0000084c,00000001,000ffffe,161948
00000858,00000001,000ffffe,162045
00000818,00000001,000ffffe,162094
0000084c,00000001,000ffffe,162119
00000818,00000001,000ffffe,162132
00000854,00000001,000ffffe,162139
000007b4,00000002,000ffffe,162144
0000085c,00000001,000ffffe,162417
00000818,00000001,000ffffe,162826
00000848,00000007,00080400,163037
000007c0,00000001,000ffffe,163134
00000858,00000001,000ffffe,163186
000007fc,00000013,00080050,163470
0000083c,00000002,000ffffe,163858
00000854,00000001,000ffffe,164060
000007d0,00000001,000ffffe,164162
00000820,00000002,000ffffe,164454
00000790,00000001,000ffffe,164599
00000854,00000001,000ffffe,164944
0000085c,00000001,000ffffe,165117
000007ac,00000001,000ffffe,165204
000007ec,00000002,000ffffe,165249
000007bc,0000000c,00080400,165521
0000084c,00000001,000ffffe,165913
00000800,00000001,000ffffe,166115
00000820,00000002,000ffffe,166489
000007ec,00000002,000ffffe,166770
000007fc,00000127,00080051,166969
000007ac,00000001,000ffffe,167248
000007ac,00000001,000ffffe,167600
0000082c,00000244,0008044f,167667
00000818,00000001,000ffffe,168512
0000082c,00000244,00080475,168627
00000818,00000001,000ffffe,169016
00000854,00000001,000ffffe,169508
00000858,00000001,000ffffe,169994
0000084c,00000001,000ffffe,170477
00000820,00000002,000ffffe,170720
000007ac,00000001,000ffffe,171080
00000820,00000002,000ffffe,171262
000007ec,00000002,000ffffe,171353
00000848,00000007,00080401,171404
000007b4,00000002,000ffffe,171662
000007ac,00000001,000ffffe,171793
0000084c,00000001,000ffffe,172131
00000818,00000001,000ffffe,172572
00000800,00000001,000ffffe,172904
000007fc,00000013,00080051,172978
00000818,00000001,000ffffe,173228
0000082c,00000244,00080447,173372
000007ec,00000002,000ffffe,173635
0000084c,00000001,000ffffe,174109
000007ec,00000002,000ffffe,174348
0000083c,00000002,000ffffe,174707
000007c0,00000001,000ffffe,174886
000007ac,00000001,000ffffe,175216
00000818,00000001,000ffffe,175653
000007ac,00000001,000ffffe,175872
0000084c,00000001,000ffffe,175982
0000084c,00000001,000ffffe,176277
0000084c,00000001,000ffffe,176771
0000082c,00000244,00080456,177004
0000083c,00000002,000ffffe,177217
000008b0,00000001,000ffffe,177439
000008e0,00000001,000ffffe,177551
00000858,00000001,000ffffe,177847
000007ec,00000002,000ffffe,178236
000007ec,00000002,000ffffe,178702
000007fc,00000013,00080053,179224
0000083c,00000002,000ffffe,179460
00000854,00000001,000ffffe,179586
000007d0,00000001,000ffffe,179650
00000820,00000002,000ffffe,179923
00000818,00000001,000ffffe,180330
000007ac,00000001,000ffffe,180806
000007ec,00000002,000ffffe,181317
00000854,00000001,000ffffe,181811
00000858,00000001,000ffffe,182059
00000820,00000002,000ffffe,182424
00000848,00000007,00080400,182851
0000085c,00000001,000ffffe,183296
00000854,00000001,000ffffe,183522
00000858,00000001,000ffffe,183875
000007d0,00000001,000ffffe,184052
000007fc,00000013,00080052,184159
00000848,00000007,00080400,184192
0000085c,00000001,000ffffe,184209
000007d0,00000001,000ffffe,184499
0000082c,00000244,0008044a,184800
000007ec,00000002,000ffffe,184911
000007c0,00000001,000ffffe,185116
000007fc,00000013,00080053,185509
000007d8,00000001,000ffffe,185679
000007ec,00000002,000ffffe,186014
00000858,00000001,000ffffe,186452
00000818,00000001,000ffffe,186672
000007b4,00000002,000ffffe,187055
00000848,00000007,00080401,187491
0000082c,00000244,0008044a,188280
0000083c,00000002,000ffffe,188512
000007bc,0000000c,00080401,188977
000007bc,0000000c,00080401,189205
000007d0,00000001,000ffffe,189548
00000834,00000001,000ffffe,189965
00000834,00000001,000ffffe,190174
000007c0,00000001,000ffffe,190279
0000085c,00000001,000ffffe,190332
000007fc,00000013,00080054,190377
000007bc,0000000c,00080401,190384
000007d8,00000001,000ffffe,190652
00000834,00000001,000ffffe,190792
000007bc,0000000c,00080401,191145
00000800,00000001,000ffffe,191577
00000848,00000007,00080401,192188
000007ec,00000002,000ffffe,192375
0000082c,00000244,0008044e,192378
000007ac,00000001,000ffffe,192710
00000834,00000001,000ffffe,193150
000007ec,00000002,000ffffe,193611
000007d0,00000001,000ffffe,194112
00000820,00000002,000ffffe,194604
00000818,00000001,000ffffe,194849
000008d8,00000001,000ffffe,195212
000008e4,00000001,000ffffe,195394
000007ec,00000002,000ffffe,195892
0000084c,00000001,000ffffe,196214
0000082c,00000244,00080454,196304
000007ec,00000002,000ffffe,196377
0000083c,00000002,000ffffe,196698
000007c0,00000001,000ffffe,196858
00000800,00000001,000ffffe,196939
0000083c,00000002,000ffffe,197002
000007d8,00000001,000ffffe,197012
0000082c,0000236e,0008046f,197150
00000820,00000002,000ffffe,197294
0000084c,00000001,000ffffe,197431
0000082c,00000244,0008045e,197559
0000082c,00000244,00080461,197597
00000848,00000007,00080400,197778
000007d0,00000001,000ffffe,197943
00000848,00000007,00080400,198035
000007ec,00000002,000ffffe,198345
000007bc,0000000c,00080400,198513
000007ec,00000002,000ffffe,199030
0000082c,00000244,0008046b,199432
000007ac,00000001,000ffffe,199793
0000082c,00000244,00080464,199936
00000800,00000001,000ffffe,200752
0000082c,00000244,00080449,200830
00000834,00000001,000ffffe,201003
000007d8,00000001,000ffffe,201129
0000083c,00000002,000ffffe,201433
0000083c,00000002,000ffffe,201585
00000818,00000001,000ffffe,201932
0000085c,00000001,000ffffe,202378
0000084c,00000001,000ffffe,202841
00000818,00000001,000ffffe,203073
000007d0,00000001,000ffffe,203429
0000083c,00000002,000ffffe,203848
0000084c,00000001,000ffffe,204296
00000834,00000001,000ffffe,204521
000007bc,0000000c,00080400,204731
00000858,00000001,000ffffe,204735
000007ec,00000002,000ffffe,204744
000007ec,00000002,000ffffe,205020
0000082c,00000244,0008046a,205213
0000082c,00000244,0008046f,205270
000007fc,00000013,00080054,205447
00000818,00000001,000ffffe,205906
00000820,00000002,000ffffe,206146
00000854,00000001,000ffffe,206265
000007bc,0000000c,00080401,206576
00000834,00000001,000ffffe,206955
0000083c,00000002,000ffffe,207423
000007ac,00000001,000ffffe,207656
000007d8,00000001,000ffffe,208013
0000083c,00000002,000ffffe,208193
